EAN,Descripcion,Categoria,Precio_Compra,Variacion_Precio_Porc,Cantidad_Recibida,Dias_Reposicion,Error_OCR
6000001059032,SALCHICHON PALADINI TRIPLE KG.,Helados,9064.29,5.74,31,20,0
7798115941181,FIDEOS ESTRELLA DEL PAR.LARGOS SPAG,Almacén,659.26,4.15,39,7,0
7891150014800,SHAMPOO CLEAR MEN 400CC CAIDA CONTR,Cuidado Capilar,6786.26,6.12,11,3,0
7790310001011,MINI TOSTADITAS TWISTOS JAMON 155G.,Snacks,3285.71,8.31,42,18,0
7790040725003,GALLETITAS ARCOR SERRANITAS 105 GRS,Almacén,437.04,3.91,38,10,0
7790142000114,ALIMENTO TIERNITOS CARNE 1.5KG.,Mascotas,3303.7,3.91,27,7,0
7791293021881,SHAMPOO SEDAL 650ML CREMA BALANCE,Cuidado Capilar,6045.19,8.45,26,17,0
78923355,DESODORANTE REXONA R.ON FEM NUTRITI,Higiene Corporal,2131.44,6.42,11,14,0
7790070408044,TORTA EXQUISITA CHIPS CHOCOLATE 500,Almacén,2777.78,3.33,11,3,1
7791293030883,SHAMPOO SEDAL 340ML RIZOS DEFINIDOS,Cuidado Capilar,3764.44,20.0,9,12,0
7790142000121,ALIMENTO TIERNITOS CARNE 3KG.,Mascotas,6362.96,3.34,35,13,1
7791293030777,SHAMPOO SEDAL 340ML CERAMIDAS,Cuidado Capilar,3764.44,3.34,16,2,0
7790580106393,JUGO ARCOR CAJA 18U. NARANJA DURAZN,Bebidas sin alcohol,4923.08,5.1,35,3,0
7790060043019,ARROZ LUCCHETTI PARBOIL 1KG. BOLSA,Almacén,1370.37,-0.28,36,5,0
78914407,DESODORANTE DOVE R.ON ORIGINAL 50ML,Higiene Corporal,2496.41,0.19,29,11,0
7794820000885,DULCE DE LECHE MILKAUT 1 KG.,Golosinas,6442.86,3.09,14,8,0
7798115940245,FIDEOS ESTRELLA DEL PAR.MOSTACHO500,Almacén,659.26,1.97,8,12,0
7790070317711,FIDEOS FAVORITA 500G.MOSTACHOL ,Almacén,622.22,5.29,36,7,0
7790895640018,BEBIDA POWERADE 500CC.MANZANA,Bebidas sin alcohol,1538.46,2.23,45,15,0
7891150014251,SHAMPOO CLEAR MEN 200CC DUAL EFFECT,Cuidado Capilar,3963.89,0.97,42,17,1
7790407490407,CHOCOLATE COFLER AIR.55G. BLANCO ,Golosinas,2635.71,8.16,41,4,0
7501056340124,CREMA P/PEINAR SEDAL 300ML CERAMIDA,Cuidado Capilar,4040.52,3.94,29,13,0
7790580984311,JUGO CAMPAGNOLA BC MANGO/NAR. 7G,Almacén,274.07,4.67,36,18,0
7790580311315,CARAMELOS MOGUL 1KG. CONITOS FRUTAL,Golosinas,9321.43,0.94,11,1,0
7792798006199,CERVEZA STELLA ARTOIS 975 C.C.,Bebidas con alcohol,3192.31,3.14,7,16,0
7891000108819,CAFE INSTANT.NESCAFE CLAS.170G,Almacén,10466.67,4.78,25,13,0
